ETHICS_NUM,REP_NUM,COMNAME,EMAIL,STREET,CITY,STATE,ZIP,PHONE,EXT,AFFILIATION_ID,STMNT_OF_INTENT,PURPOSE,
"203002","32264","Okla Assn of Career & Tech Education PAC","cdees@okacte.org","4545 N Lincoln Blvd Suite 159","Oklahoma City","OK","73105","4055258906","","","y","To promote and support state candidates"
"297043","21358","Cherokee Cty Repub Party","loribigby@cablelynx.com","2415 Diffee Drive","Tahlequah","OK","74464","9184562043","","26","","Electing Republicans"
"203041","23544","ConocoPhillips SPIRITPAC","Sherry.L.Gamble@conocophillips.com","1400B Plaza Office Building","Bartlesville","OK","74004","9186611604","","15","y","Protect value of existing COP businesses and enhance ability to grow."
"401005","21758","Seminole County Central Democratic Committee","","RR 1 Box 177AC","Seminole","OK","74868","4053821277","","","n","To support Democratic candidates for office."
"597304","21349","Service Corporation International PAC (SCI/PAC)","terrie.nee@sci-us.com","1929 Allen Parkway","Houston","TX","77019","7135259761","","153","","To encourage participation in election process."
"298410","21177","Sierra Club Political Committee","wesner@gns.com","616 Tulsa St","Norman","OK","73071","4053212204","","154","y","Support candidates for state office."
"200028","6852","Small Loan Council of Oklahoma PAC","srkelley@swbell.net","3806 S Victor","Tulsa","OK","74105","9187440300","","155","","Support business oriented legislators."
"597115","25644","SmithKline Beecham Corporation PAC (GlaxoSmithKline PAC)","cfs@pass1.com","5 Moore Dr","Research Triangle Park","NC","27709","2027151000","","","y","Preserve, protect, enhance the pharmaceutical industry & establish an ef"
"497310","21763","South OKC Womens Democrat Club","","4705 NW 62nd Ter","Oklahoma City","OK","73122","4055215588","","","y","To help candidates."
"298416","22440","Southwest PAC  (SW PAC - Oklahoma)","twebb@swassn.com","2257 E 33rd St","Tulsa","OK","74105","9187124849","","156","y","Support legislative candidates for OK equipment dealers."
"297312","21756","SBC Oklahoma Employee PAC","kw1876@momail.sbc.com","800 N Harvey Rm 474","Oklahoma City","OK","72102","4052916250","","","y","To promote and support State Candidates."
"297315","6858","Speakers Ball Committee","","401 State Capitol","Oklahoma City","OK","73105","4055577444","","","y","Raise funds & make expenditures to conduct affair associated speakers ba"
"202040","23027","State of Black Oklahoma PAC","sobopac@aol.com","PO Box 414","Spencer","OK","73084","4054247526","","","y","Support candidates."
"297317","23189","State Employee Rights Campaign Committee","","8001 Braddock Rd Ste 500","Springfield","VA","22160","7033219820","","157","","Support political candidates dedicated to the preservation of the right"
"497318","20899","Stephens County Democratic Party","","2106 Crossgate","Duncan","OK","73533","5802555600","","","","Party building and candidate recruitment"
