TRANSACTION_ID,REASON,
"82904","C"
"82242","C"
"13400","C"
"91513","ck never cleared;stop pymt"
"93759","Changed jobs"
"19516","C"
"98368","Not running for election"
"105749","Refund of contribution"
"29823","Over limit"
"25009","Check #2838 Voided"
"25011","Check #2313 Voided"
"14437","Check Voided"
"66683","VOID Check"
"66685","VOID Check"
"104793","Refused"
"56490","Request from Candidate to cancel check"
"90850","over the amount allowed"
"98612","Void - Hiett for House 2004"
"21807","Check writtten on PC account"
"86296","opted out of PAC contribution"
"81486","No PAC money"
"100465","elected out of payroll deduction"
"79248","Corporate donation"
"63802","Ethics Rules"
"74750","Lost check - voided"
"87286","overpayment"
"87287","overpayment"
"59069","Decided not to give"
"70991","Lost check - voided"
"70993","Lost check - voided"
"98425","Refund of contribution from individual."
"98462","Refund of contribution"
"98451","Refund of contribution"
"98452","Refund of contribution."
"97321","Candidate left office"
"70875","Correction to previous reporting period contribution"
"127780","Contribution refund"
"127781","Contribution refund"
"127782","Contribution refund"
"127783","Contribution refund"
"127785","Contribution refund"
"127788","Contribution refund"
"127791","Contribution refund"
"127920","Contribution refund"
"113697","Refused"
"114357","Refused"
"148345","REFUND REQUESTED BY CONTRIBUTOR"
"127240","Returned Check"
"127241","Returned Check"
"141215","Withdrew Candidacy"
"129634","CONTRIBUTION WRITTEN ON CORPORATE CHECK"
"129734","Ending Campaign"
"134502","Contribution Refund"
"134503","Contribution Refund"
"134504","Contribution Refund"
"142915","Over Max"
"158357","Over Maximum Contribution Allowed"
"155404","Not Given"
"155417","Over the contribution limit "
"159731","None given"
"155932","Over the Contribution Limit"
"156237","Over the Contribution Limit"
"156324","Over the Contribution Limit"
"157520","Over the Contribution Limit"
"178893","did not draw opponent"
"178894","did not draw opponent"
"178897","did not draw opponent"
"178900","did not draw opponent"
"178902","did not draw opponent"
"167665","Exceeds $50. Cash limit"
"191154","corporation"
"191649","Unknown"
"191714","Unknown"
"196294","CONTRIBUTION REFUND"
"196296","CONTRIBUTION REFUND"
"183245","Over Maximum"
"179696","employee requested"
"179752","employee requested"
"179890","VOID 8-30-05 CHECK TO COMMITTEE"
"193556","Loan"
"189492","257:10-1-20B"
"181037","Refund contribution"
"181632","Unable to collect"
"181722","Unable to collect"
"186348","Refund of Contribution"
"207284","refund"
"207291","refund"
"207345","Campaign Over"
"207351","Campaign Over"
"207354","Campaign Over"
