TRANSACTION_ID,DESCRIPTION,PURP,
"85606","CAMPAIGN RELATIONS- Travel, Accommodations, Meals",""
"85607","OFFICE EXPENSES- Office Supplies",""
"85608","SUPPLIES- General Operation and overhead",""
"85609","OFFICE SUPPLIES- Office Supplies",""
"85610","SUPPLIES- General Operation and overhead",""
"85611","TRAVEL- Travel, Accommodations, Meals",""
"85612","PAYROLL TAXES- Payroll Taxes",""
"85613","PAYROLL TAXES- Payroll Taxes",""
"65003","MEALS- Travel, Accommodations, Meals",""
"65005","FUNDRAISING MEALS- Travel, Accommodations, Meals",""
"65007","FUNDRAISING EXPENSES- General Operation and overhead",""
"65009","COPIES- Office Supplies",""
"65010","OFFICE SUPPLIES- Office Supplies",""
"65012","PAPER- Office Supplies",""
"65013","CONSULTING- Management/Consulting Service",""
"65014","ACCOUNTING SERVICES- Professional Services",""
"65019","PAYROLL TAXES- Payroll Taxes",""
"71092","COPIES- Office Supplies",""
"71093","CAMPAIGN SUPPLIES- General Operation and overhead",""
"71094","PAYROLL TAXES- Payroll Taxes",""
"71537","ACCOUNTING SERVICES- Professional Services",""
"71541","CAMPAIGN RELATIONS- General Operation and overhead",""
"71539","TRAVEL- Travel, Accommodations, Meals",""
"79262","MILEAGE- Vehicle Expenses",""
"79263","FEES- General Operation and overhead",""
"79264","MEALS- Travel, Accommodations, Meals",""
"79265","SOFTWARE- General Operation and overhead",""
"79266","MEALS- Travel, Accommodations, Meals",""
"79267","OFFICE SUPPLIES- Office Supplies",""
"79268","OFFICE SUPPLIES- Office Supplies",""
"79269","LODGING- Travel, Accommodations, Meals",""
"104470","Envelopes- Printing",""
"66866","Yard Signs- Yard Signs, Buttons, etc.",""
"66867","T-Shirts- Yard Signs, Buttons, etc.",""
"66869","Letterhead- Yard Signs, Buttons, etc.",""
"79196","flyers, signs, etc.-flyers, signs, etc.",""
"71723","Signs, bumper stickers, gumballs- Yard Signs, Buttons, etc.",""
"71724","printing brochures & business cards- Printing",""
"67046","FLYSWATTERS & FANS- Advertising",""
